Data księgowania,Typ zapisu,Typ dokumentu,Nr dokumentu,Nr zapasu,Opis szukany,Nr źródła,Nazwa,Nr partii,Data ważności,Kod lokalizacji,Ilość,Ilość zafakturowana,Ilość pozostała,Koszt na jednostkę,Kwota sprzedaży (rzeczywista),Kwota kosztu (rzeczywista),Nr seryjny,Nr wiersza dokumentu,Nr wiersza komp. zlec. prod.,Nr wiersza zlecenia,Nr zadania zlecenia,Nr zapisu,Nr zlecenia,Nr zlecenia,Opis,Otwarte,Typ zlecenia,Zapis rozliczony do skorygow.
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06439,FASOLA CZERWONA PUSZKA 2500/1500G.VERA,N3222,FASOLA CZERWONA PUSZKA 2500/1500G.VERA,V1 R022,1/22/2028,2,-19,-19,0,0.00,300.20,-285.00,,390000,0,0,,1854903,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03325,DAKTYLE SUSZONE BEZ PESTEK IRAN A'10 KG,N3222,DAKTYLE SUSZONE BEZ PESTEK IRAN A'10 KG,1940/1,3/31/2027,2,-10,-10,0,0.00,75.00,-64.50,,380000,0,0,,1854902,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00158,R-008,N3222,CUKIER PUDER A'10 KG FOLIA,03.11.2027,11/3/2027,2,-30,-30,0,0.00,135.00,-72.30,,370000,0,0,,1854901,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z04336,CALLEBAUT-CIEMNA CZEKOL.SICAO (55% KAKAO) A`10 KG,N3222,CALLEBAUT-CIEMNA CZEKOL.SICAO (55% KAKAO) A`10 KG,2525949364,9/16/2027,2,-30,-30,0,0.00,"1,455.00","-1,345.80",,360000,0,0,,1854900,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z05030,ERYTROL A'20/25KG,N3222,ERYTROL A'20/25KG,1806/1,6/20/2028,2,-25,-25,0,0.00,426.25,-267.50,,350000,0,0,,1854899,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00155,R-006,N3222,CUKIER KRYSZTAŁ A'25 KG,31800125,12/31/2028,2,-75,-75,0,0.00,202.50,-145.50,,340000,0,0,,1854898,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06857,,N3222,COCONUT MILK-NAPÓJ KOKOSOWY TŁ.16-17% VICO A'1L,1297/2025,12/12/2026,2,-2,-2,0,0.00,21.60,-18.58,,330000,0,0,,1854897,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06284,WPC 80%KON.BIAŁ.SER.700 G WANIL,N3222,WPC 80%KON.BIAŁ.SER.700 G WANIL,091/0548/M6,4/1/2027,2,-6,-6,0,0.00,258.00,-240.06,,320000,0,0,,1854896,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01940,R-038,N3222,ŻELATYNA 180 BLOOM  A'25KG,6018020.00.0447,10/24/2030,2,-25,-25,0,0.00,675.00,-415.00,,310000,0,0,,1854895,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07875,MAJONEZ 31% A'5KG ROLESKI,N3222,MAJONEZ 31% A'5KG ROLESKI,09.10.2026,10/9/2026,2,-13,-13,0,0.00,403.00,-383.50,,300000,0,0,,1854894,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00864,D-149,N3222,BUDYŃ CZEKOLADOWY A'5KG  EMIX,2,1/31/2027,2,-50,-50,0,0.00,713.50,-620.50,,290000,0,0,,1854893,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00864,D-149,N3222,BUDYŃ CZEKOLADOWY A'5KG  EMIX,1,9/30/2026,2,-20,-20,0,0.00,285.40,-248.20,,290000,0,0,,1854892,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00175,R-212,N3222,MIÓD SZTUCZNY PREMIUM 15KG  HOLGER FOOD,07112026,11/7/2026,2,-45,-45,0,0.00,234.00,-200.25,,280000,0,0,,1854891,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07381,JAJA GOTOWANE W ZALEWIE (IIGAT.) A'7KG,N3222,JAJA GOTOWANE W ZALEWIE (IIGAT.) A'7KG,13.12.2025,12/13/2025,2,-3,-3,0,0.00,354.00,-285.00,,270000,0,0,,1854890,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07494,MASA JAJOWA A'10L BASSO,N3222,MASA JAJOWA A'10L BASSO,2025-11-17,12/23/2025,2,-50,-50,0,0.00,775.00,-725.00,,260000,0,0,,1854889,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07494,MASA JAJOWA A'10L BASSO,N3222,MASA JAJOWA A'10L BASSO,2025-11-03,12/8/2025,2,-90,-90,0,0.00,"1,395.00","-1,242.00",,260000,0,0,,1854888,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z05227,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,N3222,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,18.12.2025,12/18/2025,2,-50,-50,0,0.00,260.00,-230.00,,250000,0,0,,1854887,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03284,M-KALAFIOR RÓŻYCZKI 40/60 A'10 KG,N3222,M-KALAFIOR RÓŻYCZKI 40/60 A'10 KG,13102025,9/30/2027,2,-230,-230,0,0.00,"1,380.00",-966.00,,240000,0,0,,1854886,,,,0, ,0
